time,china,asia-east,asia,europe,europe-west,europe-north,europe-east,north-america,us,us-east,us-west,singapore,ukraine,russia,canada,sweden,japan,taiwan,germany,south korea,others,total
2019-09-15,0.35141916261565,0.119845143547198,0.0635622811144216,0.160371125398568,0.0984529905337495,0,0.0678369413097342,0.0285897168313665,0.0376315927029429,0,0,0.0125450838952486,0,0.00611572839893367,0,0,0,0.00862474517798338,0.00486122000940881,0.0225811510114474,0.017563117453348,6377
2019-09-17,0.335666511121481,0.122880989920343,0.0600969564991963,0.162213926478976,0.100941285164337,0,0.0695098530116418,0.0294241325974099,0.0446046559858972,0,0,0.0139990667288847,0,0.00264426815990045,0,0,0,0.00995489189609581,0.00699953336444237,0.0213096904650801,0.0197542386063151,6429
2019-09-19,0.338127601285496,0.122177696782407,0.0599478425794215,0.161516253095201,0.0977599336987673,0,0.0673882241339172,0.028621671858751,0.0405347452715874,0,0,0.015015015015015,0,0.00410937253042516,0,0,0,0.0134344871186977,0.00537379484747906,0.0230757072862336,0.0229176544966019,6327
2019-08-31,0.320872274143302,0.119413371030505,0.0560742471443406,0.170948078920042,0.105161909796022,0,0.0719601250873837,0.0294770551452794,0.0463421599169263,0,0,0.0179127725856698,0,0.00124610591900312,0,0,0,0.0140186915887851,0.00638629283489097,0.0225856697819315,0.017601246105919,6420
2019-09-01,0.306831198583776,0.120342008013986,0.0650713318754556,0.192608559825055,0.0992366442619489,0,0.0681591269296674,0.0285696247306682,0.0392064979693846,0,0,0.0160887222742893,0,0.0014058106841612,0,0,0,0.0103092783505155,0.00531084036238675,0.0248359887535145,0.0220243673851921,6402
2019-09-02,0.324937810945274,0.116684670292568,0.062672056384743,0.178449419568823,0.0971689386875954,0,0.0664858957735202,0.0278072614154704,0.0465029021558872,0,0,0.0139925373134328,0,0.00171019900497513,0,0,0,0.0115049751243781,0.00715174129353234,0.025342039800995,0.019589552238806,6432
2019-09-10,0.303433521185556,0.128208867956207,0.0580019828845753,0.173221665623043,0.1009199015359,0,0.0698442177895841,0.0303945769011517,0.0498763306199124,0,0,0.0170632435817157,0,0.00203506574827802,0,0,0,0.0117407639323732,0.00469630557294928,0.0286474639949906,0.0219160926737633,6388
2019-09-12,0.347472550238243,0.117908222120466,0.0637124507975969,0.167667288170706,0.0970993628350683,0,0.0665747195946077,0.0279267072584351,0.0372135902216698,0,0,0.0130515848353014,0,0.00248601615910503,0,0,0,0.0100994406463642,0.00450590428837788,0.0212865133623369,0.0229956494717216,6436
2019-09-13,0.334864565182956,0.126034345111804,0.0616252178045303,0.173540313638524,0.0947873864357311,0,0.0661246763944372,0.0289097618663594,0.0341200696974497,0,0,0.0156819261840646,0,0.00269285601140504,0,0,0,0.0110882306351972,0.00506890543323301,0.0234436876287027,0.0220180579756059,6313
2019-09-16,0.340304673379809,0.124564074577243,0.0627730441518203,0.16902039762458,0.0962277035349073,0,0.0669619676789313,0.0289000109866105,0.0406052155951459,0,0,0.0144074360960496,0,0.00247869868319132,0,0,0,0.0100697134004648,0.00449264136328428,0.0226181254841208,0.016576297443842,6455
2019-09-18,0.352426534918429,0.11935517464358,0.0593494930780711,0.162620554783593,0.0940338574553489,0,0.0648741437500122,0.0277426910647537,0.0402398229633061,0,0,0.0125057897174618,0,0.00540373629766867,0,0,0,0.0112706499922804,0.00540373629766867,0.0217693376563224,0.0230044773815038,6477
2019-09-20,0.358755748462771,0.117905210191832,0.0589334986823748,0.165067948121738,0.0899151003168985,0,0.0628600935956385,0.0274129147609228,0.0450524466490983,0,0,0.0124011781119206,0,0.00341032398077817,0,0,0,0.0116261044799256,0.00341032398077817,0.0210820027902651,0.0221671058750581,6451
2019-09-21,0.349760116812682,0.117677820476319,0.0630819774718398,0.167626199415937,0.0945224333785035,0,0.0654894722452607,0.0278484466158121,0.0429672507300793,0,0,0.0129849812265332,0,0.00391113892365457,0,0,0,0.00876095118898623,0.00438047559449312,0.0201814768460576,0.0208072590738423,6392
2019-09-24,0.350913533035904,0.11775175911218,0.060539621839813,0.161459528362014,0.0972239448573101,0,0.0666725801685967,0.0282624870537554,0.0416507329509242,0,0,0.015774378585086,0,0.00653282345442957,0,0,0,0.00876354365838114,0.00637348629700446,0.0170490758444869,0.0210325047801147,6276
2019-09-26,0.357332500390442,0.119256173617723,0.0604987245561976,0.167667239314905,0.0904819484049532,0,0.0631446575404095,0.0274451917003846,0.0424884168879171,0,0,0.009058253943464,0,0.00343588942683117,0,0,0,0.00749648602217711,0.00624707168514759,0.0254568171169764,0.0199906293924723,6403
2019-09-27,0.357003839882174,0.121325907994679,0.061407606122771,0.159408763347536,0.0935543422714008,0,0.0649556095918728,0.0277229218999773,0.0426626689811162,0,0,0.00962600599652833,0,0.00362947767082216,0,0,0,0.00978380937352059,0.0053653148177371,0.0236705065488401,0.0198832255010257,6337
2019-09-28,0.368437402920162,0.119253865173716,0.0583592212902558,0.158572020296158,0.0889425973372851,0,0.0623303122524931,0.0275471612414763,0.042310759034897,0,0,0.00900900900900901,0,0.0032618825722274,0,0.000155327741534638,0,0.01071761416589,0.00667909288598944,0.0240757999378689,0.0203479341410376,6438
2019-10-03,0.346979166666667,0.125404170843077,0.059678125,0.168504166666667,0.0948463084044334,0,0.0660126044147919,0.0292056663376976,0.0324947916666667,0,0,0.0121875,0,0.00828125,0,0,0,0.00890625,0.00671875,0.02140625,0.019375,6400
2019-10-06,0.338502093347806,0.126509029142151,0.062949294464258,0.158666459916266,0.0955718472851362,0,0.066655592459283,0.0291422720034908,0.045712513567995,0,0,0.013180338036905,0,0.00108543960303923,0,0,0,0.0106993332299581,0.0051170724143278,0.0235695456659947,0.0226391688633897,6449
2019-10-07,0.344961240310078,0.120842828719007,0.0585486067462812,0.162364341085271,0.0974353782703877,0,0.0672422898723967,0.0287472592664296,0.0403483134297088,0,0,0.0130421118793212,0,0.00251414204902577,0,0,0,0.0105279698302954,0.0059710873664362,0.0219987429289755,0.0254556882463859,6364
2019-10-08,0.346137699412259,0.122672074424908,0.0609912888329135,0.165339000839631,0.098604203619317,0,0.0682312846234446,0.0289748050905167,0.0393078295549958,0,0,0.0119647355163728,0,0.00251889168765743,0,0,0,0.0110201511335013,0.00251889168765743,0.0212531486146096,0.0204659949622166,6352
2019-10-10,0.332807902480034,0.132285717298012,0.0608911307271963,0.173282891971417,0.0987999659475069,0,0.0699614372852078,0.0307624633280371,0.0362652374947457,0,0,0.0119798234552333,0,0.00236443883984868,0,0,0,0.0102459016393443,0,0.0208070617906683,0.0195460277427491,6344
2019-10-11,0.344655868323112,0.12995380378947,0.0631142213136237,0.162852649787702,0.098551933747562,0,0.0698422539806405,0.0304772954771382,0.0346611102374587,0,0,0.0102217329768832,0,0.0036169208995125,0,0,0,0.00833464381192011,0.000629029721654348,0.0235886145620381,0.0194999213712848,6359
2019-10-12,0.337915415810818,0.126344414700237,0.06613156370148,0.166353821035445,0.100337017449358,0,0.0697980398765673,0.0299544037836027,0.033328066571865,0,0,0.0121662189919419,0,0.00489808816558698,0,0,0,0.00979617633117396,0.000158002844051193,0.0235424237636277,0.0192763469742455,6329
2019-10-13,0.339556531743542,0.121139331588971,0.0640722727748144,0.166310009413241,0.100213327202031,0,0.0700444757849841,0.029280618797092,0.0369014747411359,0,0,0.0097270160025102,0,0.00345152180734233,0,0,0,0.0114527769061814,0.00047066206463759,0.0219642296830875,0.0254157514904299,6374
2019-10-14,0.3400657585721,0.130116028292324,0.0585574865612442,0.165941234799854,0.0941603324412155,0,0.0674854595765822,0.0296723428337645,0.0379092949219769,0,0,0.0106466259589792,0,0.00641928918114921,0,0,0,0.00782840144042587,0.000469704086425552,0.0231720682636606,0.0275559730702991,6387
2019-10-15,0.346343233297051,0.126243427799484,0.0571062043228114,0.173290830871301,0.0912791341194389,0,0.0651083835129862,0.028984666448047,0.0365391592805681,0,0,0.0097962991758669,0,0.0032654330586223,0,0,0,0.011195770486705,0.000310993624630695,0.0220805473487794,0.0284559166537086,6431
2019-09-25,0.338972431077694,0.120639527959077,0.0590147243107769,0.166387844611529,0.0962402070813725,0,0.0667534040806284,0.0285535776709022,0.0429244987468672,0,0,0.0167606516290727,0,0.00610902255639098,0,0,0,0.0115914786967419,0.0050125313283208,0.0213032581453634,0.0197368421052632,6384
2019-09-29,0.358886465150099,0.118950136530535,0.0598436688480316,0.163000934870676,0.0916868226051772,0,0.0638103040935699,0.0273601534114155,0.0421392957307573,0,0,0.0141788719227174,0,0.00296042380803989,0,0,0,0.00934870676223123,0.00467435338111561,0.0197880959800561,0.0233717669055781,6418
2019-09-30,0.354636591478697,0.12270234814815,0.0597138680033417,0.16609231411863,0.089927976902131,0,0.0629902498085456,0.0276375705045818,0.0376649958228906,0,0,0.012531328320802,0,0.00579573934837093,0.000156641604010025,0,0,0.0100250626566416,0.00391604010025063,0.0225563909774436,0.0236528822055138,6384
2019-10-01,0.366272434899886,0.12072587060231,0.0615473596846146,0.168711484593838,0.0922405412237345,0,0.0641287516327977,0.0282269653926984,0.029207905384376,0,0,0.0121381886087768,0,0.00420168067226891,0,0,0,0.0094926859632742,0.00529100529100529,0.0196078431372549,0.0182072829131653,6426
2019-10-02,0.352427541949398,0.131178126125262,0.054619956867077,0.163755720372416,0.0990925403672761,0,0.0689636073669528,0.030259177300364,0.0301120403976645,0,0,0.0140445005523118,0,0.00394508442480669,0,0,0,0.0100994161275051,0.00599652832570617,0.0181473883541108,0.0173583714691494,6337
